stop_lat,stop_lon,stop_name,stop_id,wheelchair_boarding,location_type,parent_station,platform_code
41.38563194,2.168720219,Barcelona - Plaça Catalunya,PC,1,1,,
41.38563194,2.168720219,Barcelona - Plaça Catalunya,PC1,1,0,PC,1
41.38563194,2.168720219,Barcelona - Plaça Catalunya,PC3,1,0,PC,3
41.38563194,2.168720219,Barcelona - Plaça Catalunya,PC4,1,0,PC,4
41.38563194,2.168720219,Barcelona - Plaça Catalunya,PC2,1,0,PC,2
41.38563194,2.168720219,Barcelona - Plaça Catalunya,PC5,1,0,PC,5
41.39281434,2.158030869,Provença,PR,0,1,,
41.39281434,2.158030869,Provença,PR1,0,0,PR,1
41.39281434,2.158030869,Provença,PR2,0,0,PR,2
41.39909823,2.152662325,Gràcia,GR,0,1,,
41.39909823,2.152662325,Gràcia,GR1,0,0,GR,1
41.39909823,2.152662325,Gràcia,GR2,0,0,GR,2
41.39909823,2.152662325,Gràcia,GR3,0,0,GR,3
41.39909823,2.152662325,Gràcia,GR4,0,0,GR,4
41.40106608,2.147133783,Sant Gervasi,SG,0,1,,
41.40106608,2.147133783,Sant Gervasi,SG1,0,0,SG,1
41.40106608,2.147133783,Sant Gervasi,SG2,0,0,SG,2
41.39852644,2.142346041,Muntaner,MN,0,1,,
41.39852644,2.142346041,Muntaner,MN1,0,0,MN,1
41.39852644,2.142346041,Muntaner,MN2,0,0,MN,2
41.39781569,2.136433966,La Bonanova,BN,0,1,,
41.39781569,2.136433966,La Bonanova,BN1,0,0,BN,1
41.39781569,2.136433966,La Bonanova,BN2,0,0,BN,2
41.39780042,2.130811822,Les Tres Torres,TT,0,1,,
41.39780042,2.130811822,Les Tres Torres,TT1,0,0,TT,1
41.39780042,2.130811822,Les Tres Torres,TT2,0,0,TT,2
41.39849938,2.125574875,Sarrià,SR,0,1,,
41.39849938,2.125574875,Sarrià,SR4,0,0,SR,4
41.39849938,2.125574875,Sarrià,SR2,0,0,SR,2
41.39849938,2.125574875,Sarrià,SR1,0,0,SR,1
41.39874599,2.118932325,Reina Elisenda,RE,0,1,,
41.39874599,2.118932325,Reina Elisenda,RE1,0,0,RE,1
41.4016938,2.146754722,Pl. Molina,PM,0,1,,
41.4016938,2.146754722,Pl. Molina,PM1,0,0,PM,1
41.4016938,2.146754722,Pl. Molina,PM2,0,0,PM,2
41.40351065,2.142759094,Pàdua,PD,0,1,,
41.40351065,2.142759094,Pàdua,PD1,0,0,PD,1
41.40351065,2.142759094,Pàdua,PD2,0,0,PD,2
41.40582569,2.139151477,El Putxet,EP,0,1,,
41.40582569,2.139151477,El Putxet,EP1,0,0,EP,1
41.40582569,2.139151477,El Putxet,EP2,0,0,EP,2
41.40964799,2.137162791,Av. Tibidabo,TB,0,1,,
41.40964799,2.137162791,Av. Tibidabo,TB1,0,0,TB,1
41.40921616,2.111181541,Peu del Funicular,PF,0,1,,
41.40921616,2.111181541,Peu del Funicular,PF1,0,0,PF,1
41.40921616,2.111181541,Peu del Funicular,PF2,0,0,PF,2
41.414111713828,2.1058163381683,Vallvidrera Superior,VS,0,1,,
41.414111713828,2.1058163381683,Vallvidrera Superior,VS1,0,0,VS,1
41.42009441,2.096936777,Baixador de Vallvidrera,VL,0,1,,
41.42009441,2.096936777,Baixador de Vallvidrera,VL1,0,0,VL,1
41.42009441,2.096936777,Baixador de Vallvidrera,VL2,0,0,VL,2
41.42740264,2.0916176,Les Planes,LP,0,1,,
41.42740264,2.0916176,Les Planes,LP1,0,0,LP,1
41.42740264,2.0916176,Les Planes,LP2,0,0,LP,2
41.44487408,2.073166144,La Floresta,LF,0,1,,
